^CGroup,"Migration ID",Status,Total,Imported,Unprocessed,"Last Imported"
"Default (default)",d7_blocked_ips,Idle,0,0,0,
"Default (default)",d7_color,Idle,0,0,0,
"Default (default)",d7_dblog_settings,Idle,0,0,0,
"Default (default)",d7_file_private,Idle,34,0,34,
"Default (default)",d7_filter_format,Idle,4,0,4,
"Default (default)",d7_filter_settings,Idle,1,0,1,
"Default (default)",d7_global_theme_settings,Idle,0,0,0,
"Default (default)",d7_image_settings,Idle,0,0,0,
"Default (default)",d7_image_styles,Idle,1,0,1,
"Default (default)",d7_language_types,Idle,0,0,0,
"Default (default)",d7_node_settings,Idle,1,0,1,
"Default (default)",d7_path_redirect,Idle,0,0,0,
"Default (default)",d7_realname_settings,Idle,0,0,0,
"Default (default)",d7_syslog_settings,Idle,1,0,1,
"Default (default)",d7_system_authorize,Idle,0,0,0,
"Default (default)",d7_system_cron,Idle,0,0,0,
"Default (default)",d7_system_date,Idle,1,0,1,
"Default (default)",d7_system_file,Idle,0,0,0,
"Default (default)",d7_system_mail,Idle,0,0,0,
"Default (default)",d7_system_performance,Idle,1,0,1,
"Default (default)",d7_theme_settings,Idle,4,0,4,
"Default (default)",d7_user_flood,Idle,0,0,0,
"Default (default)",d7_user_mail,Idle,0,0,0,
"Default (default)",d7_vote,Idle,377,0,377,
"Default (default)",file_settings,Idle,0,0,0,
"Default (default)",menu_settings,Idle,0,0,0,
"Default (default)",system_image,Idle,1,0,1,
"Default (default)",system_image_gd,Idle,0,0,0,
"Default (default)",system_logging,Idle,1,0,1,
"Default (default)",system_maintenance,Idle,0,0,0,
"Default (default)",system_rss,Idle,0,0,0,
"Default (default)",system_site,Idle,1,0,1,
"Default (default)",taxonomy_settings,Idle,0,0,0,
"Default (default)",text_settings,Idle,0,0,0,
"Default (default)",update_settings,Idle,1,0,1,
"Default (default)",block_content_type,Idle,1,0,1,
"Default (default)",block_content_body_field,Idle,1,0,1,
"Default (default)",d7_custom_block,Idle,0,0,0,
"Default (default)",d7_user_role,Idle,13,13,0,"2018-09-17 17:40:49"
"Default (default)",d7_block,Idle,321,0,321,
"Default (default)",block_content_entity_form_display,Idle,1,0,1,
"Default (default)",block_content_entity_display,Idle,1,0,1,
"Default (default)",d7_node_type,Idle,22,0,22,
"Default (default)",d7_comment_type,Idle,22,0,22,
"Default (default)",d7_comment_field,Idle,22,0,22,
"Default (default)",d7_comment_field_instance,Idle,22,0,22,
"Default (default)",d7_comment_entity_form_display_subject,Idle,22,0,22,
"Default (default)",d7_comment_entity_form_display,Idle,22,0,22,
"Default (default)",default_language,Idle,0,0,0,
"Default (default)",user_picture_field,Idle,1,0,1,
"Default (default)",user_picture_field_instance,Idle,1,0,1,
"Default (default)",user_picture_entity_display,Idle,1,0,1,
"Default (default)",user_picture_entity_form_display,Idle,1,0,1,
"Default (default)",d7_comment_entity_display,Idle,22,0,22,
"Default (default)",d7_field,Idle,239,0,239,
"Default (default)",d7_taxonomy_vocabulary,Idle,24,0,24,
"Default (default)",d7_field_collection_type,Idle,3,0,3,
"Default (default)",d7_paragraphs_type,Idle,68,0,68,
"Default (default)",d7_field_instance,Idle,557,0,557,
"Default (default)",d7_file,Idle,18153,10,18143,
"Default (default)",d7_user,Idle,409,408,0,"2018-09-17 17:42:19"
"Default (default)",d7_node:advpoll,Idle,8,0,8,
"Default (default)",d7_node:article,Idle,706,0,706,
"Default (default)",d7_node:change,Idle,26,0,26,
"Default (default)",d7_node:department_profile,Idle,76,0,76,
"Default (default)",d7_node:emergency_alert,Idle,4,0,4,
"Default (default)",d7_node:event,Idle,1510,0,1510,
"Default (default)",d7_node:how_to,Idle,168,0,168,
"Default (default)",d7_node:landing_page,Idle,6,0,6,
"Default (default)",d7_node:listing_page,Idle,14,0,14,
"Default (default)",d7_node:metrolist_affordable_housing,Idle,532,0,532,
"Default (default)",d7_node:person_profile,Idle,360,0,360,
"Default (default)",d7_node:place_profile,Idle,101,0,101,
"Default (default)",d7_node:post,Idle,2532,0,2532,
"Default (default)",d7_node:procurement_advertisement,Idle,0,0,0,
"Default (default)",d7_node:program_initiative_profile,Idle,230,0,230,
"Default (default)",d7_node:public_notice,Idle,2361,0,2361,
"Default (default)",d7_node:script_page,Idle,135,0,135,
"Default (default)",d7_node:site_alert,Idle,4,0,4,
"Default (default)",d7_node:status_item,Idle,38,0,38,
"Default (default)",d7_node:tabbed_content,Idle,4,0,4,
"Default (default)",d7_node:topic_page,Idle,21,0,21,
"Default (default)",d7_node:transaction,Idle,46,0,46,
"Default (default)",d7_comment,Idle,0,0,0,
"Default (default)",d7_authmap,Idle,403,0,403,
"Default (default)",d7_view_modes,Idle,46,0,46,
"Default (default)",d7_field_instance_widget_settings,Idle,557,0,557,
"Default (default)",d7_field_formatter_settings,Idle,2831,0,2831,
"Default (default)",d7_field_group,Idle,0,0,0,
"Default (default)",d7_language_negotiation_settings,Idle,0,0,0,
"Default (default)",d7_node_title_label,Idle,22,0,22,
"Default (default)",d7_node_revision:advpoll,Idle,0,0,0,
"Default (default)",d7_node_revision:article,Idle,13377,0,13377,
"Default (default)",d7_node_revision:change,Idle,14,0,14,
"Default (default)",d7_node_revision:department_profile,Idle,6895,0,6895,
"Default (default)",d7_node_revision:emergency_alert,Idle,456,0,456,
"Default (default)",d7_node_revision:event,Idle,6755,0,6755,
"Default (default)",d7_node_revision:how_to,Idle,3032,0,3032,
"Default (default)",d7_node_revision:landing_page,Idle,1264,0,1264,
"Default (default)",d7_node_revision:listing_page,Idle,187,0,187,
"Default (default)",d7_node_revision:metrolist_affordable_housing,Idle,0,0,0,
"Default (default)",d7_node_revision:person_profile,Idle,1495,0,1495,
"Default (default)",d7_node_revision:place_profile,Idle,2462,0,2462,
"Default (default)",d7_node_revision:post,Idle,7318,0,7318,
"Default (default)",d7_node_revision:procurement_advertisement,Idle,0,0,0,
"Default (default)",d7_node_revision:program_initiative_profile,Idle,10247,0,10247,
"Default (default)",d7_node_revision:public_notice,Idle,8807,0,8807,
"Default (default)",d7_node_revision:script_page,Idle,442,0,442,
"Default (default)",d7_node_revision:site_alert,Idle,9,0,9,
"Default (default)",d7_node_revision:status_item,Idle,472,0,472,
"Default (default)",d7_node_revision:tabbed_content,Idle,33,0,33,
"Default (default)",d7_node_revision:topic_page,Idle,1876,0,1876,
"Default (default)",d7_node_revision:transaction,Idle,16,0,16,
"Default (default)",d7_node_translation:advpoll,Idle,0,0,0,
"Default (default)",d7_node_translation:article,Idle,0,0,0,
"Default (default)",d7_node_translation:change,Idle,0,0,0,
"Default (default)",d7_node_translation:department_profile,Idle,0,0,0,
"Default (default)",d7_node_translation:emergency_alert,Idle,0,0,0,
"Default (default)",d7_node_translation:event,Idle,0,0,0,
"Default (default)",d7_node_translation:how_to,Idle,0,0,0,
"Default (default)",d7_node_translation:landing_page,Idle,0,0,0,
"Default (default)",d7_node_translation:listing_page,Idle,0,0,0,
"Default (default)",d7_node_translation:metrolist_affordable_housing,Idle,0,0,0,
"Default (default)",d7_node_translation:person_profile,Idle,0,0,0,
"Default (default)",d7_node_translation:place_profile,Idle,0,0,0,
"Default (default)",d7_node_translation:post,Idle,0,0,0,
"Default (default)",d7_node_translation:procurement_advertisement,Idle,0,0,0,
"Default (default)",d7_node_translation:program_initiative_profile,Idle,0,0,0,
"Default (default)",d7_node_translation:public_notice,Idle,0,0,0,
"Default (default)",d7_node_translation:script_page,Idle,0,0,0,
"Default (default)",d7_node_translation:site_alert,Idle,0,0,0,
"Default (default)",d7_node_translation:status_item,Idle,0,0,0,
"Default (default)",d7_node_translation:tabbed_content,Idle,0,0,0,
"Default (default)",d7_node_translation:topic_page,Idle,0,0,0,
"Default (default)",d7_node_translation:transaction,Idle,0,0,0,
"Default (default)",d7_url_alias,Idle,28021,0,28021,
"Default (default)",d7_rdf_mapping,Idle,0,0,0,
"Default (default)",d7_menu,Idle,8,0,8,
"Default (default)",d7_menu_links,Idle,47,0,47,
"Default (default)",d7_taxonomy_term:commissions,Idle,62,0,62,
"Default (default)",d7_taxonomy_term:procurement_footer,Idle,0,0,0,
"Default (default)",d7_taxonomy_term:procurement_type,Idle,5,0,5,
"Default (default)",d7_taxonomy_term:massachusetts_general_law,Idle,9,0,9,
"Default (default)",d7_taxonomy_term:bid_type,Idle,2,0,2,
"Default (default)",d7_taxonomy_term:bid_offering,Idle,2,0,2,
"Default (default)",d7_taxonomy_term:maps_basemap,Idle,1,1,0,"2018-09-17 16:26:16"
"Default (default)",d7_taxonomy_term:maps_esri_feed,Idle,1,0,1,
"Default (default)",d7_taxonomy_term:newsletters,Idle,65,0,65,
"Default (default)",d7_taxonomy_term:public_notice_type,Idle,0,0,0,
"Default (default)",d7_taxonomy_term:holidays,Idle,15,0,15,
"Default (default)",d7_taxonomy_term:311_request,Idle,98,98,0,"2018-09-17 16:31:15"
"Default (default)",d7_taxonomy_term:type_of_content,Idle,33,0,33,
"Default (default)",d7_taxonomy_term:topic_category,Idle,0,0,0,
"Default (default)",d7_taxonomy_term:icons,Idle,20,0,20,
"Default (default)",d7_taxonomy_term:features,Idle,32,0,32,
"Default (default)",d7_taxonomy_term:place_type,Idle,8,0,8,
"Default (default)",d7_taxonomy_term:program_type,Idle,12,0,12,
"Default (default)",d7_taxonomy_term:profile_type,Idle,1,0,1,
"Default (default)",d7_taxonomy_term:political_party,Idle,2,0,2,
"Default (default)",d7_taxonomy_term:neighborhoods,Idle,23,23,0,"2018-09-17 16:28:14"
"Default (default)",d7_taxonomy_term:event_type,Idle,14,0,14,
"Default (default)",d7_taxonomy_term:news_tags,Idle,62,0,62,
"Default (default)",d7_taxonomy_term:contact,Idle,74,0,74,
"Default (default)",d7_entity_reference_translation:comment__comment,Idle,N/A,0,N/A,
"Default (default)",d7_entity_reference_translation:comment__comment_node_change,Idle,N/A,0,N/A,
"Default (default)",d7_entity_reference_translation:vote__vote,Idle,N/A,0,N/A,
"Default (default)",d7_entity_reference_translation:vote_result__vote_result,Idle,N/A,0,N/A,
"Default (default)",node_translation_menu_links,Idle,47,0,47,
